choice,bet_amount,won,bankroll
true,100,true,921
true,50,true,969
true,25,true,992
true,10,false,982
true,25,true,1006
true,10,true,1015
true,5,true,1020
true,1,false,1019
true,5,true,1023
true,1,true,1024
true,1,true,1025
true,1,false,1024
true,5,false,1019
true,10,false,1008
true,25,false,982
true,50,false,930
true,100,false,824
true,100,false,719
true,100,false,614
true,100,false,509
true,100,false,404
true,100,false,299
true,100,true,394
true,50,true,442
true,25,false,416
true,50,false,363
true,100,false,258
true,100,false,153
true,100,false,48
